Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,7.13969222839467e-07,0
0.001,0,4.50961189626431e-07,0
0.002,0,-1.32434301362085e-06,0
0.003,0,4.06732171671208e-06,0
0.004,0,7.02616226134481e-06,0
0.005,0,6.48217214461066e-07,0
0.006,0,-4.61194329399238e-06,0
0.007,0,-1.0613349858094e-06,0
0.008,0,-3.38062905206216e-07,0
0.009,0,-1.45584702722703e-06,0
0.01,0,-1.12708699283717e-06,0
0.011,0,-6.66822942593726e-07,0
0.012,0,2.09476141036993e-06,0
0.013,0,-4.61194329399238e-06,0
0.014,0,-8.22830345914034e-06,0
0.015,0,-1.3900950204489e-06,0
0.016,0,4.13307372770397e-06,0
0.017,0,8.45473239746608e-07,0
0.018,0,-9.30286656841139e-09,0
0.019,0,6.48217214461066e-07,0
0.02,0,1.87953157214726e-07,0
0.021,0,1.87953157214726e-07,0
0.022,0,-1.52159903395524e-06,0
0.023,0,3.80431367324859e-06,0
0.024,0,7.6836823962921e-06,0
0.025,0,9.76977256854222e-07,0
0.026,0,-4.80919930686213e-06,0
0.027,0,-1.98186307965575e-06,0
0.028,0,-1.3900950204489e-06,0
0.029,0,-1.78460706036911e-06,0
0.03,0,-9.29830971604029e-07,0
0.031,0,3.19457173320437e-07,0
0.032,0,2.81803351743758e-06,0
0.033,0,-3.69141522802567e-06,0
0.034,0,-7.4392794358608e-06,0
0.035,0,-1.85035906684787e-06,0
0.036,0,3.21254557840281e-06,0
0.037,0,3.19457173320437e-07,0
0.038,0,-2.72310897578704e-07,0
0.039,0,7.79721231267982e-07,0
0.04,0,3.85209181448393e-07,0
0.041,0,1.87953157214726e-07,0
0.042,0,-1.65310304726196e-06,0
0.043,0,3.34404959912716e-06,0
0.044,0,6.43439414422554e-06,0
0.045,0,9.11225248275355e-07,0
0.046,0,-5.13795932731967e-06,0
0.047,0,-1.78460706036911e-06,0
0.048,0,-4.03814912783718e-07,0
0.049,0,-9.9558297873169e-07,0
0.05,0,-4.69566920311215e-07,0
0.051,0,3.85209181448393e-07,0
0.052,0,2.68652949751829e-06,0
0.053,0,-4.02017525270278e-06,0
0.054,0,-7.50503143807213e-06,0
0.055,0,-1.98186307965575e-06,0
0.056,0,3.21254557840281e-06,0
0.057,0,3.85209181448393e-07,0
0.058,0,-1.40806882173616e-07,0
0.059,0,7.13969222839467e-07,0
0.06,0,-4.03814912783718e-07,0
0.061,0,-9.9558297873169e-07,0
0.062,0,-1.85035906684787e-06,0
0.063,0,3.60705764118005e-06,0
0.064,0,7.22341830129659e-06,0
0.065,0,2.22626542938445e-06,0
0.066,0,-3.29690319677273e-06,0
0.067,0,-9.9558297873169e-07,0
0.068,0,-4.03814912783718e-07,0
0.069,0,-1.65310304726196e-06,0
0.07,0,-9.9558297873169e-07,0
0.071,0,-7.505487439603e-08,0
0.072,0,1.96325739155634e-06,0
0.073,0,-4.15167926222584e-06,0
0.074,0,-7.50503143807213e-06,0
0.075,0,-1.3900950204489e-06,0
0.076,0,3.14679356811614e-06,0
0.077,0,-3.38062905206216e-07,0
0.078,0,-1.3900950204489e-06,0
0.079,0,3.19457173320437e-07,0
0.08,0,-2.72310897578704e-07,0
0.081,0,5.64491413092505e-08,0
0.082,0,-1.192838999815e-06,0
0.083,0,3.93581769487954e-06,0
0.084,0,7.28917031471524e-06,0
0.085,0,1.83175337294363e-06,0
0.086,0,-3.62566322294116e-06,0
0.087,0,-9.9558297873169e-07,0
0.088,0,-6.01070935216213e-07,0
0.089,0,-1.52159903395524e-06,0
0.09,0,-8.64078964426401e-07,0
0.091,0,1.22201149236961e-07,0
0.092,0,2.29201743896708e-06,0
0.093,0,-4.61194329399238e-06,0
0.094,0,-8.35980746232985e-06,0
0.095,0,-2.31062311080298e-06,0
0.096,0,3.40980160956485e-06,0
0.097,0,3.19457173320437e-07,0
0.098,0,-1.40806882173616e-07,0
0.099,0,1.04272926548323e-06,0
0.1,0,3.19457173320437e-07,0
0.101,0,5.64491413092505e-08,0
0.102,0,-1.91611107327674e-06,0
0.103,0,3.21254557840281e-06,0
0.104,0,6.82890622184915e-06,0
0.105,0,1.17423328289164e-06,0
0.106,0,-4.67769529833191e-06,0
0.107,0,-6.01070935216213e-07,0
0.108,0,-6.01070935216213e-07,0
0.109,0,-1.58735104063354e-06,0
0.11,0,-1.192838999815e-06,0
0.111,0,-6.01070935216213e-07,0
