Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,-2.90239116372903e-06,0
0.001,0,-3.49415921262297e-06,0
0.002,0,-3.62566322294116e-06,0
0.003,0,-2.77088715231629e-06,0
0.004,0,-1.91611107327674e-06,0
0.005,0,-7.24202342893054e-06,0
0.006,0,-7.30777543129e-06,0
0.007,0,-9.9558297873169e-07,0
0.008,0,4.06732171671208e-06,0
0.009,0,9.76977256854222e-07,0
0.01,0,2.68652949751829e-06,0
0.011,0,2.09476141036993e-06,0
0.012,0,3.40980160956485e-06,0
0.013,0,1.89750538222488e-06,0
0.014,0,2.81803351743758e-06,0
0.015,0,6.5658981698975e-06,0
0.016,0,7.09191427461138e-06,0
0.017,0,7.13969222839467e-07,0
0.018,0,-3.23115119138984e-06,0
0.019,0,-1.85035906684787e-06,0
0.02,0,-2.63938314070439e-06,0
0.021,0,-2.96814316936073e-06,0
0.022,0,-2.63938314070439e-06,0
0.023,0,-1.85035906684787e-06,0
0.024,0,-1.0613349858094e-06,0
0.025,0,-6.97901541899877e-06,0
0.026,0,-7.50503143807213e-06,0
0.027,0,-1.71885505384048e-06,0
0.028,0,2.29201743896708e-06,0
0.029,0,6.48217214461066e-07,0
0.03,0,2.22626542938445e-06,0
0.031,0,2.94953753755807e-06,0
0.032,0,3.34404959912716e-06,0
0.033,0,2.55502547780013e-06,0
0.034,0,2.75228150745279e-06,0
0.035,0,6.17138609348906e-06,0
0.036,0,5.97413005596805e-06,0
0.037,0,5.64491413092505e-08,0
0.038,0,-3.75716723306049e-06,0
0.039,0,-2.0476150859849e-06,0
0.04,0,-3.09964718047481e-06,0
0.041,0,-3.1653991859572e-06,0
0.042,0,-3.29690319677273e-06,0
0.043,0,-2.70513514653524e-06,0
0.044,0,-3.23115119138984e-06,0
0.045,0,-7.04476742155581e-06,0
0.046,0,-8.16255145747165e-06,0
0.047,0,2.53705165242546e-07,0
0.048,0,3.54130563059129e-06,0
0.049,0,2.29201743896708e-06,0
0.05,0,2.68652949751829e-06,0
0.051,0,3.27829758873981e-06,0
0.052,0,2.81803351743758e-06,0
0.053,0,2.68652949751829e-06,0
0.054,0,2.62077748763407e-06,0
0.055,0,6.5658981698975e-06,0
0.056,0,6.5658981698975e-06,0
0.057,0,6.48217214461066e-07,0
0.058,0,-3.23115119138984e-06,0
0.059,0,-1.91611107327674e-06,0
0.06,0,-3.95442324786675e-06,0
0.061,0,-4.34893527613794e-06,0
0.062,0,-3.88867124298101e-06,0
0.063,0,-2.44212712291301e-06,0
0.064,0,-2.31062311080298e-06,0
0.065,0,-6.97901541899877e-06,0
0.066,0,-6.78175941103117e-06,0
0.067,0,-6.01070935216213e-07,0
0.068,0,3.14679356811614e-06,0
0.069,0,1.17423328289164e-06,0
0.07,0,2.29201743896708e-06,0
0.071,0,2.88378552747267e-06,0
0.072,0,2.88378552747267e-06,0
0.073,0,2.42352145828308e-06,0
0.074,0,2.35776944859995e-06,0
0.075,0,5.71112200664819e-06,0
0.076,0,5.90837804356222e-06,0
0.077,0,-8.64078964426401e-07,0
0.078,0,-4.28318327155023e-06,0
0.079,0,-2.44212712291301e-06,0
0.08,0,-2.50787912889328e-06,0
0.081,0,-3.09964718047481e-06,0
0.082,0,-1.52159903395524e-06,0
0.083,0,-1.52159903395524e-06,0
0.084,0,-4.03814912783718e-07,0
0.085,0,-6.84751141373646e-06,0
0.086,0,-6.97901541899877e-06,0
0.087,0,-6.66822942593726e-07,0
0.088,0,3.08104155787979e-06,0
0.089,0,8.45473239746608e-07,0
0.09,0,2.35776944859995e-06,0
0.091,0,2.75228150745279e-06,0
0.092,0,3.14679356811614e-06,0
0.093,0,1.70024935453176e-06,0
0.094,0,2.02900940093803e-06,0
0.095,0,6.17138609348906e-06,0
0.096,0,6.30289011875607e-06,0
0.097,0,2.53705165242546e-07,0
0.098,0,-3.03389517494265e-06,0
0.099,0,-1.58735104063354e-06,0
0.1,0,-2.90239116372903e-06,0
0.101,0,-3.29690319677273e-06,0
0.102,0,-3.23115119138984e-06,0
0.103,0,-2.50787912889328e-06,0
0.104,0,-2.17911909849363e-06,0
0.105,0,-7.37352743360008e-06,0
0.106,0,-7.50503143807213e-06,0
0.107,0,-7.32574949921261e-07,0
0.108,0,2.94953753755807e-06,0
0.109,0,9.76977256854222e-07,0
0.11,0,1.89750538222488e-06,0
0.111,0,1.83175337294363e-06,0
0.112,0,2.62077748763407e-06,0
0.113,0,1.76600136371259e-06,0
0.114,0,2.42352145828308e-06,0
0.115,0,6.5001461570362e-06,0
0.116,0,6.43439414422554e-06,0
0.117,0,9.11225248275355e-07,0
0.118,0,-3.69141522802567e-06,0
0.119,0,-1.0613349858094e-06,0
0.12,0,-3.62566322294116e-06,0
0.121,0,-2.24487110467323e-06,0
0.122,0,-3.42840720738929e-06,0
0.123,0,-1.91611107327674e-06,0
0.124,0,-2.24487110467323e-06,0
0.125,0,-7.37352743360008e-06,0
0.126,0,-7.70228744441001e-06,0
0.127,0,-1.3900950204489e-06,0
0.128,0,2.09476141036993e-06,0
0.129,0,1.23998529167108e-06,0
0.13,0,3.08104155787979e-06,0
0.131,0,3.67280965181919e-06,0
0.132,0,4.264577749839e-06,0
0.133,0,4.06732171671208e-06,0
0.134,0,3.93581769487954e-06,0
0.135,0,7.02616226134481e-06,0
0.136,0,6.43439414422554e-06,0
0.137,0,1.87953157214726e-07,0
0.138,0,-3.62566322294116e-06,0
0.139,0,-2.31062311080298e-06,0
0.14,0,-3.69141522802567e-06,0
0.141,0,-3.62566322294116e-06,0
0.142,0,-4.08592725748915e-06,0
0.143,0,-3.29690319677273e-06,0
0.144,0,-4.02017525270278e-06,0
0.145,0,-8.49131146532221e-06,0
0.146,0,-7.8995434503038e-06,0
0.147,0,-5.35318927788714e-07,0
0.148,0,3.40980160956485e-06,0
0.149,0,1.96325739155634e-06,0
0.15,0,3.40980160956485e-06,0
0.151,0,3.40980160956485e-06,0
0.152,0,3.67280965181919e-06,0
0.153,0,3.01528954769377e-06,0
0.154,0,3.93581769487954e-06,0
0.155,0,6.69740219577203e-06,0
0.156,0,7.48642635527542e-06,0
0.157,0,-7.505487439603e-08,0
0.158,0,-2.90239116372903e-06,0
0.159,0,-2.83663915804755e-06,0
0.16,0,-4.94070331519392e-06,0
0.161,0,-5.66397535747408e-06,0
0.162,0,-4.74344730262183e-06,0
0.163,0,-3.69141522802567e-06,0
0.164,0,-2.70513514653524e-06,0
0.165,0,-7.4392794358608e-06,0
0.166,0,-6.65025540547231e-06,0
0.167,0,5.64491413092505e-08,0
0.168,0,3.7385616625087e-06,0
0.169,0,1.83175337294363e-06,0
0.17,0,3.60705764118005e-06,0
0.171,0,3.87006568403886e-06,0
0.172,0,4.264577749839e-06,0
0.173,0,2.94953753755807e-06,0
0.174,0,3.54130563059129e-06,0
0.175,0,6.36864213146549e-06,0
0.176,0,6.03988206842446e-06,0
0.177,0,-9.9558297873169e-07,0
0.178,0,-4.54619128960322e-06,0
0.179,0,-2.57363113482374e-06,0
0.18,0,-3.69141522802567e-06,0
0.181,0,-3.36265520210588e-06,0
0.182,0,-2.57363113482374e-06,0
0.183,0,-1.58735104063354e-06,0
0.184,0,-1.91611107327674e-06,0
0.185,0,-7.11051942406345e-06,0
0.186,0,-7.4392794358608e-06,0
0.187,0,-4.69566920311215e-07,0
0.188,0,2.75228150745279e-06,0
0.189,0,8.45473239746608e-07,0
0.19,0,2.29201743896708e-06,0
0.191,0,3.01528954769377e-06,0
0.192,0,2.42352145828308e-06,0
0.193,0,2.16051341985207e-06,0
0.194,0,1.3714893093804e-06,0
0.195,0,6.63165018280945e-06,0
0.196,0,5.84262603120697e-06,0
0.197,0,2.53705165242546e-07,0
0.198,0,-3.03389517494265e-06,0
0.199,0,-8.64078964426401e-07,0
0.2,0,-2.77088715231629e-06,0
0.201,0,-2.57363113482374e-06,0
0.202,0,-3.09964718047481e-06,0
0.203,0,-1.85035906684787e-06,0
0.204,0,-2.63938314070439e-06,0
0.205,0,-7.37352743360008e-06,0
0.206,0,-7.24202342893054e-06,0
0.207,0,2.53705165242546e-07,0
0.208,0,3.40980160956485e-06,0
0.209,0,1.30573730050066e-06,0
0.21,0,2.09476141036993e-06,0
0.211,0,1.76600136371259e-06,0
0.212,0,2.48927346801647e-06,0
0.213,0,2.16051341985207e-06,0
0.214,0,3.27829758873981e-06,0
0.215,0,7.28917031471524e-06,0
0.216,0,6.82890622184915e-06,0
0.217,0,-7.505487439603e-08,0
0.218,0,-3.62566322294116e-06,0
0.219,0,-2.44212712291301e-06,0
0.22,0,-4.02017525270278e-06,0
0.221,0,-3.8229192380456e-06,0
0.222,0,-3.95442324786675e-06,0
0.223,0,-2.31062311080298e-06,0
0.224,0,-2.44212712291301e-06,0
0.225,0,-7.4392794358608e-06,0
0.226,0,-7.30777543129e-06,0
0.227,0,-1.192838999815e-06,0
0.228,0,2.09476141036993e-06,0
0.229,0,3.85209181448393e-07,0
0.23,0,3.14679356811614e-06,0
0.231,0,2.88378552747267e-06,0
0.232,0,4.92209786354088e-06,0
0.233,0,3.01528954769377e-06,0
0.234,0,4.00156970577061e-06,0
0.235,0,6.5658981698975e-06,0
0.236,0,6.17138609348906e-06,0
0.237,0,-5.35318927788714e-07,0
0.238,0,-3.42840720738929e-06,0
0.239,0,-2.0476150859849e-06,0
0.24,0,-3.09964718047481e-06,0
0.241,0,-2.96814316936073e-06,0
0.242,0,-3.03389517494265e-06,0
0.243,0,-2.44212712291301e-06,0
