Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,-1.71885505384048e-06,0
0.001,0,-2.0476150859849e-06,0
0.002,0,-1.40806882173616e-07,0
0.003,0,-3.55991121780692e-06,0
0.004,0,-7.37352743360008e-06,0
0.005,0,-5.8612313679646e-06,0
0.006,0,1.5029933272904e-06,0
0.007,0,9.76977256854222e-07,0
0.008,0,-6.66822942593726e-07,0
0.009,0,2.22626542938445e-06,0
0.01,0,9.76977256854222e-07,0
0.011,0,1.83175337294363e-06,0
0.012,0,2.53705165242546e-07,0
0.013,0,4.39608177217576e-06,0
0.014,0,7.35492232818459e-06,0
0.015,0,5.38236194613593e-06,0
0.016,0,-2.63938314070439e-06,0
0.017,0,-2.1133670922642e-06,0
0.018,0,-9.9558297873169e-07,0
0.019,0,-3.23115119138984e-06,0
0.02,0,-6.66822942593726e-07,0
0.021,0,-1.25859100674289e-06,0
0.022,0,7.79721231267982e-07,0
0.023,0,-3.95442324786675e-06,0
0.024,0,-7.96529545216973e-06,0
0.025,0,-5.8612313679646e-06,0
0.026,0,1.10848127416237e-06,0
0.027,0,1.43724131831032e-06,0
0.028,0,9.11225248275355e-07,0
0.029,0,2.68652949751829e-06,0
0.03,0,1.3714893093804e-06,0
0.031,0,2.42352145828308e-06,0
0.032,0,5.64491413092505e-08,0
0.033,0,4.13307372770397e-06,0
0.034,0,6.63165018280945e-06,0
0.035,0,5.31660993418509e-06,0
0.036,0,-1.85035906684787e-06,0
0.037,0,-2.17911909849363e-06,0
0.038,0,-1.52159903395524e-06,0
0.039,0,-2.96814316936073e-06,0
0.04,0,-2.44212712291301e-06,0
0.041,0,-3.29690319677273e-06,0
0.042,0,-9.30286656841139e-09,0
0.043,0,-4.34893527613794e-06,0
0.044,0,-7.4392794358608e-06,0
0.045,0,-5.46671934653781e-06,0
0.046,0,2.22626542938445e-06,0
0.047,0,2.22626542938445e-06,0
0.048,0,5.8246520613276e-07,0
0.049,0,2.02900940093803e-06,0
0.05,0,1.3714893093804e-06,0
0.051,0,1.43724131831032e-06,0
0.052,0,-7.505487439603e-08,0
0.053,0,4.39608177217576e-06,0
0.054,0,6.63165018280945e-06,0
0.055,0,5.18510591043498e-06,0
0.056,0,-1.65310304726196e-06,0
0.057,0,-2.77088715231629e-06,0
0.058,0,-1.85035906684787e-06,0
0.059,0,-3.42840720738929e-06,0
0.06,0,-1.98186307965575e-06,0
0.061,0,-1.58735104063354e-06,0
0.062,0,5.16713197854551e-07,0
0.063,0,-3.1653991859572e-06,0
0.064,0,-6.58450340261873e-06,0
0.065,0,-5.07220732332734e-06,0
0.066,0,1.70024935453176e-06,0
0.067,0,2.68652949751829e-06,0
0.068,0,5.8246520613276e-07,0
0.069,0,2.22626542938445e-06,0
0.07,0,1.10848127416237e-06,0
0.071,0,1.5029933272904e-06,0
0.072,0,5.64491413092505e-08,0
0.073,0,3.21254557840281e-06,0
0.074,0,5.18510591043498e-06,0
0.075,0,4.79059384039678e-06,0
0.076,0,-2.31062311080298e-06,0
0.077,0,-2.17911909849363e-06,0
0.078,0,3.85209181448393e-07,0
0.079,0,-2.44212712291301e-06,0
