Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,2.16051341985207e-06,0
0.001,0,1.63449734540111e-06,0
0.002,0,5.1193538986357e-06,0
0.003,0,7.35492232818459e-06,0
0.004,0,5.38236194613593e-06,0
0.005,0,-2.44212712291301e-06,0
0.006,0,-2.96814316936073e-06,0
0.007,0,-1.71885505384048e-06,0
0.008,0,-4.54619128960322e-06,0
0.009,0,-2.70513514653524e-06,0
0.01,0,-3.09964718047481e-06,0
0.011,0,-1.0613349858094e-06,0
0.012,0,-4.74344730262183e-06,0
0.013,0,-7.37352743360008e-06,0
0.014,0,-5.72972736102044e-06,0
0.015,0,2.02900940093803e-06,0
0.016,0,1.23998529167108e-06,0
0.017,0,6.48217214461066e-07,0
0.018,0,2.81803351743758e-06,0
0.019,0,2.81803351743758e-06,0
0.02,0,3.80431367324859e-06,0
0.021,0,2.22626542938445e-06,0
0.022,0,5.38236194613593e-06,0
0.023,0,7.42067434170465e-06,0
0.024,0,5.71112200664819e-06,0
0.025,0,-3.29690319677273e-06,0
0.026,0,-3.23115119138984e-06,0
0.027,0,-2.31062311080298e-06,0
0.028,0,-4.28318327155023e-06,0
0.029,0,-3.29690319677273e-06,0
0.03,0,-3.29690319677273e-06,0
0.031,0,-1.45584702722703e-06,0
0.032,0,-4.87495131105283e-06,0
0.033,0,-8.75431947071573e-06,0
0.034,0,-5.79547936451728e-06,0
0.035,0,1.96325739155634e-06,0
0.036,0,2.81803351743758e-06,0
0.037,0,1.63449734540111e-06,0
0.038,0,4.5933378060592e-06,0
0.039,0,3.40980160956485e-06,0
0.04,0,3.67280965181919e-06,0
0.041,0,9.76977256854222e-07,0
0.042,0,4.85634585194359e-06,0
0.043,0,7.6836823962921e-06,0
0.044,0,4.65908981745459e-06,0
0.045,0,-3.03389517494265e-06,0
0.046,0,-2.90239116372903e-06,0
0.047,0,-1.58735104063354e-06,0
0.048,0,-4.41468728067601e-06,0
0.049,0,-3.88867124298101e-06,0
0.05,0,-4.41468728067601e-06,0
0.051,0,-1.192838999815e-06,0
0.052,0,-4.80919930686213e-06,0
0.053,0,-7.17627142652169e-06,0
0.054,0,-5.00645531928543e-06,0
0.055,0,3.14679356811614e-06,0
0.056,0,2.55502547780013e-06,0
0.057,0,1.70024935453176e-06,0
0.058,0,3.47555362005289e-06,0
0.059,0,3.21254557840281e-06,0
0.06,0,3.01528954769377e-06,0
0.061,0,1.3714893093804e-06,0
0.062,0,5.57961798229164e-06,0
0.063,0,7.09191427461138e-06,0
0.064,0,4.33032976098216e-06,0
0.065,0,-3.36265520210588e-06,0
0.066,0,-3.29690319677273e-06,0
0.067,0,-2.50787912889328e-06,0
0.068,0,-4.54619128960322e-06,0
0.069,0,-3.36265520210588e-06,0
0.07,0,-2.17911909849363e-06,0
0.071,0,-4.69566920311215e-07,0
0.072,0,-4.21743126691286e-06,0
0.073,0,-7.63653544234674e-06,0
0.074,0,-5.33521533899924e-06,0
0.075,0,1.76600136371259e-06,0
0.076,0,2.35776944859995e-06,0
0.077,0,1.10848127416237e-06,0
0.078,0,3.54130563059129e-06,0
0.079,0,2.68652949751829e-06,0
0.08,0,3.21254557840281e-06,0
0.081,0,1.89750538222488e-06,0
0.082,0,5.31660993418509e-06,0
0.083,0,6.17138609348906e-06,0
0.084,0,4.85634585194359e-06,0
