Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,2.35776944859995e-06,0
0.001,0,6.17138609348906e-06,0
0.002,0,7.74943441006581e-06,0
0.003,0,2.29201743896708e-06,0
0.004,0,-4.41468728067601e-06,0
0.005,0,-3.23115119138984e-06,0
0.006,0,-2.37637511688291e-06,0
0.007,0,-4.41468728067601e-06,0
0.008,0,-2.96814316936073e-06,0
0.009,0,-2.50787912889328e-06,0
0.01,0,-8.64078964426401e-07,0
0.011,0,-6.45299939676321e-06,0
0.012,0,-8.03104745398636e-06,0
0.013,0,-3.03389517494265e-06,0
0.014,0,2.88378552747267e-06,0
0.015,0,1.70024935453176e-06,0
0.016,0,1.76600136371259e-06,0
0.017,0,4.13307372770397e-06,0
0.018,0,3.40980160956485e-06,0
0.019,0,2.16051341985207e-06,0
0.02,0,1.87953157214726e-07,0
0.021,0,4.85634585194359e-06,0
0.022,0,6.5001461570362e-06,0
0.023,0,2.22626542938445e-06,0
0.024,0,-3.88867124298101e-06,0
0.025,0,-1.91611107327674e-06,0
0.026,0,-1.58735104063354e-06,0
0.027,0,-4.28318327155023e-06,0
0.028,0,-3.09964718047481e-06,0
0.029,0,-2.50787912889328e-06,0
0.03,0,-7.98326957198819e-07,0
0.031,0,-5.9269833713624e-06,0
0.032,0,-7.63653544234674e-06,0
0.033,0,-2.44212712291301e-06,0
0.034,0,3.87006568403886e-06,0
0.035,0,2.48927346801647e-06,0
0.036,0,1.3714893093804e-06,0
0.037,0,3.01528954769377e-06,0
0.038,0,1.76600136371259e-06,0
0.039,0,1.76600136371259e-06,0
0.04,0,1.17423328289164e-06,0
0.041,0,5.38236194613593e-06,0
0.042,0,7.28917031471524e-06,0
0.043,0,2.55502547780013e-06,0
0.044,0,-4.15167926222584e-06,0
0.045,0,-2.31062311080298e-06,0
0.046,0,-1.98186307965575e-06,0
0.047,0,-4.15167926222584e-06,0
0.048,0,-2.83663915804755e-06,0
0.049,0,-2.1133670922642e-06,0
0.05,0,-2.06558889901171e-07,0
0.051,0,-5.46671934653781e-06,0
0.052,0,-7.83379144838854e-06,0
0.053,0,-4.02017525270278e-06,0
0.054,0,2.42352145828308e-06,0
0.055,0,6.48217214461066e-07,0
0.056,0,9.11225248275355e-07,0
0.057,0,3.54130563059129e-06,0
0.058,0,2.55502547780013e-06,0
0.059,0,2.81803351743758e-06,0
0.06,0,1.43724131831032e-06,0
0.061,0,5.44811395813729e-06,0
0.062,0,7.22341830129659e-06,0
0.063,0,2.42352145828308e-06,0
0.064,0,-3.95442324786675e-06,0
0.065,0,-2.17911909849363e-06,0
0.066,0,-1.32434301362085e-06,0
0.067,0,-3.49415921262297e-06,0
0.068,0,-1.98186307965575e-06,0
0.069,0,-2.1133670922642e-06,0
0.07,0,-1.45584702722703e-06,0
0.071,0,-6.71600740827646e-06,0
0.072,0,-8.49131146532221e-06,0
0.073,0,-2.90239116372903e-06,0
0.074,0,3.21254557840281e-06,0
0.075,0,1.56874533632066e-06,0
0.076,0,1.63449734540111e-06,0
0.077,0,3.47555362005289e-06,0
0.078,0,2.55502547780013e-06,0
0.079,0,2.62077748763407e-06,0
0.08,0,1.3714893093804e-06,0
0.081,0,5.25085792228477e-06,0
0.082,0,7.02616226134481e-06,0
0.083,0,2.35776944859995e-06,0
0.084,0,-3.88867124298101e-06,0
0.085,0,-2.24487110467323e-06,0
0.086,0,-3.1653991859572e-06,0
0.087,0,-5.59822335387819e-06,0
0.088,0,-3.95442324786675e-06,0
0.089,0,-3.36265520210588e-06,0
0.09,0,-8.64078964426401e-07,0
0.091,0,-5.66397535747408e-06,0
0.092,0,-7.37352743360008e-06,0
0.093,0,-1.98186307965575e-06,0
0.094,0,3.54130563059129e-06,0
0.095,0,1.83175337294363e-06,0
0.096,0,1.76600136371259e-06,0
