Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,-2.83663915804755e-06,0
0.001,0,-6.78175941103117e-06,0
0.002,0,-6.45299939676321e-06,0
0.003,0,1.5029933272904e-06,0
0.004,0,3.60705764118005e-06,0
0.005,0,1.70024935453176e-06,0
0.006,0,2.29201743896708e-06,0
0.007,0,2.35776944859995e-06,0
0.008,0,2.22626542938445e-06,0
0.009,0,1.10848127416237e-06,0
0.01,0,2.88378552747267e-06,0
0.011,0,6.63165018280945e-06,0
0.012,0,6.23713810609726e-06,0
0.013,0,-1.85035906684787e-06,0
0.014,0,-4.74344730262183e-06,0
0.015,0,-2.50787912889328e-06,0
0.016,0,-3.75716723306049e-06,0
0.017,0,-3.42840720738929e-06,0
0.018,0,-2.63938314070439e-06,0
0.019,0,-5.35318927788714e-07,0
0.02,0,-1.25859100674289e-06,0
0.021,0,-6.91326341639232e-06,0
0.022,0,-6.65025540547231e-06,0
0.023,0,9.11225248275355e-07,0
0.024,0,2.75228150745279e-06,0
0.025,0,1.17423328289164e-06,0
0.026,0,2.42352145828308e-06,0
0.027,0,3.40980160956485e-06,0
0.028,0,2.55502547780013e-06,0
0.029,0,1.3714893093804e-06,0
0.03,0,2.35776944859995e-06,0
0.031,0,5.1193538986357e-06,0
0.032,0,5.31660993418509e-06,0
0.033,0,-2.17911909849363e-06,0
0.034,0,-3.29690319677273e-06,0
0.035,0,-1.78460706036911e-06,0
0.036,0,-2.83663915804755e-06,0
0.037,0,-2.37637511688291e-06,0
0.038,0,-2.57363113482374e-06,0
0.039,0,-1.12708699283717e-06,0
0.04,0,-1.85035906684787e-06,0
0.041,0,-6.38724739376128e-06,0
0.042,0,-6.65025540547231e-06,0
0.043,0,9.11225248275355e-07,0
0.044,0,3.34404959912716e-06,0
0.045,0,7.79721231267982e-07,0
0.046,0,2.09476141036993e-06,0
0.047,0,1.63449734540111e-06,0
0.048,0,1.96325739155634e-06,0
0.049,0,1.23998529167108e-06,0
0.05,0,2.42352145828308e-06,0
0.051,0,6.69740219577203e-06,0
0.052,0,6.63165018280945e-06,0
0.053,0,-8.64078964426401e-07,0
0.054,0,-3.29690319677273e-06,0
0.055,0,-1.58735104063354e-06,0
0.056,0,-3.49415921262297e-06,0
0.057,0,-3.36265520210588e-06,0
0.058,0,-3.23115119138984e-06,0
0.059,0,-1.71885505384048e-06,0
0.06,0,-2.57363113482374e-06,0
0.061,0,-7.04476742155581e-06,0
0.062,0,-6.51875139971569e-06,0
0.063,0,1.17423328289164e-06,0
0.064,0,2.22626542938445e-06,0
0.065,0,3.19457173320437e-07,0
0.066,0,2.09476141036993e-06,0
0.067,0,2.16051341985207e-06,0
0.068,0,3.40980160956485e-06,0
0.069,0,2.88378552747267e-06,0
0.07,0,4.19882573874628e-06,0
0.071,0,6.5658981698975e-06,0
0.072,0,6.17138609348906e-06,0
0.073,0,-1.65310304726196e-06,0
0.074,0,-4.08592725748915e-06,0
0.075,0,-2.0476150859849e-06,0
0.076,0,-3.42840720738929e-06,0
0.077,0,-2.37637511688291e-06,0
0.078,0,-3.09964718047481e-06,0
0.079,0,-1.65310304726196e-06,0
0.08,0,-2.77088715231629e-06,0
0.081,0,-8.42555946385067e-06,0
0.082,0,-7.17627142652169e-06,0
0.083,0,8.45473239746608e-07,0
0.084,0,3.67280965181919e-06,0
0.085,0,1.96325739155634e-06,0
0.086,0,3.21254557840281e-06,0
0.087,0,3.08104155787979e-06,0
0.088,0,2.42352145828308e-06,0
0.089,0,1.5029933272904e-06,0
0.09,0,2.55502547780013e-06,0
0.091,0,6.03988206842446e-06,0
0.092,0,5.71112200664819e-06,0
0.093,0,-1.58735104063354e-06,0
0.094,0,-3.62566322294116e-06,0
0.095,0,-2.17911909849363e-06,0
0.096,0,-3.42840720738929e-06,0
0.097,0,-3.75716723306049e-06,0
0.098,0,-3.55991121780692e-06,0
0.099,0,-1.85035906684787e-06,0
0.1,0,-2.50787912889328e-06,0
0.101,0,-6.71600740827646e-06,0
0.102,0,-5.99273537471071e-06,0
0.103,0,1.23998529167108e-06,0
0.104,0,3.40980160956485e-06,0
