Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,3.14679356811614e-06,0
0.001,0,2.55502547780013e-06,0
0.002,0,2.09476141036993e-06,0
0.003,0,2.88378552747267e-06,0
0.004,0,1.43724131831032e-06,0
0.005,0,8.45473239746608e-07,0
0.006,0,-8.64078964426401e-07,0
0.007,0,-7.505487439603e-08,0
0.008,0,1.83175337294363e-06,0
0.009,0,2.53705165242546e-07,0
0.01,0,-2.50787912889328e-06,0
0.011,0,-2.0476150859849e-06,0
0.012,0,-2.37637511688291e-06,0
0.013,0,-2.50787912889328e-06,0
0.014,0,-2.17911909849363e-06,0
0.015,0,-1.52159903395524e-06,0
0.016,0,1.3714893093804e-06,0
0.017,0,5.8246520613276e-07,0
0.018,0,-4.69566920311215e-07,0
0.019,0,3.85209181448393e-07,0
0.02,0,2.09476141036993e-06,0
0.021,0,1.83175337294363e-06,0
0.022,0,1.10848127416237e-06,0
0.023,0,1.30573730050066e-06,0
0.024,0,1.83175337294363e-06,0
0.025,0,1.76600136371259e-06,0
0.026,0,-7.505487439603e-08,0
0.027,0,6.48217214461066e-07,0
0.028,0,9.76977256854222e-07,0
0.029,0,-7.98326957198819e-07,0
0.03,0,-3.42840720738929e-06,0
0.031,0,-2.83663915804755e-06,0
0.032,0,-1.71885505384048e-06,0
0.033,0,-1.12708699283717e-06,0
0.034,0,-1.0613349858094e-06,0
0.035,0,-5.35318927788714e-07,0
0.036,0,5.8246520613276e-07,0
0.037,0,-6.01070935216213e-07,0
0.038,0,-1.25859100674289e-06,0
0.039,0,-3.38062905206216e-07,0
0.04,0,2.68652949751829e-06,0
0.041,0,2.62077748763407e-06,0
0.042,0,2.16051341985207e-06,0
0.043,0,2.29201743896708e-06,0
0.044,0,1.10848127416237e-06,0
0.045,0,6.48217214461066e-07,0
0.046,0,-9.9558297873169e-07,0
0.047,0,-4.03814912783718e-07,0
0.048,0,7.13969222839467e-07,0
0.049,0,-9.30286656841139e-09,0
0.05,0,-2.0476150859849e-06,0
0.051,0,-1.58735104063354e-06,0
0.052,0,-1.91611107327674e-06,0
0.053,0,-1.91611107327674e-06,0
0.054,0,-1.78460706036911e-06,0
0.055,0,-1.192838999815e-06,0
0.056,0,8.45473239746608e-07,0
0.057,0,-1.40806882173616e-07,0
0.058,0,-7.505487439603e-08,0
0.059,0,6.48217214461066e-07,0
0.06,0,2.62077748763407e-06,0
0.061,0,1.76600136371259e-06,0
0.062,0,9.76977256854222e-07,0
0.063,0,1.30573730050066e-06,0
0.064,0,1.43724131831032e-06,0
0.065,0,8.45473239746608e-07,0
0.066,0,-2.72310897578704e-07,0
0.067,0,5.8246520613276e-07,0
0.068,0,5.8246520613276e-07,0
0.069,0,-6.01070935216213e-07,0
0.07,0,-2.70513514653524e-06,0
0.071,0,-2.44212712291301e-06,0
0.072,0,-1.32434301362085e-06,0
0.073,0,-1.58735104063354e-06,0
